date,sentiment_score,sentiment_label
2020-01-06,0.9001,Positive
2020-01-07,0.2787,Positive
2020-01-08,0.0,Neutral
2020-01-15,0.0,Neutral
2020-01-21,0.34,Positive
2020-01-28,0.0,Neutral
2020-01-30,0.34,Positive
2020-01-31,0.5267,Positive
2020-02-03,0.31105,Positive
2020-02-10,0.0,Neutral
2020-02-28,0.0,Neutral
2020-03-02,0.0,Neutral
2020-03-03,0.0,Neutral
2020-03-04,0.22254999999999997,Positive
2020-03-05,0.18775625,Positive
2020-03-16,0.0,Neutral
2020-03-17,0.24635,Positive
2020-03-24,0.875,Positive
2020-03-28,-0.1779,Negative
2020-03-30,0.7531,Positive
2020-03-31,0.13616,Positive
2020-04-01,0.0,Neutral
2020-04-02,0.28752,Positive
2020-04-03,0.1191,Positive
2020-04-04,0.0,Neutral
2020-04-06,-0.08081666666666668,Negative
2020-04-07,0.4728,Positive
2020-04-08,0.3612,Positive
2020-04-09,0.7783,Positive
2020-04-10,0.6369,Positive
2020-04-11,0.0,Neutral
2020-04-13,0.296,Positive
2020-04-14,0.04879999999999998,Neutral
2020-04-16,-0.17206666666666667,Negative
2020-04-18,0.4019,Positive
2020-04-20,0.0,Neutral
2020-04-22,0.34,Positive
2020-04-23,0.3404,Positive
2020-04-24,0.2108,Positive
2020-04-27,0.128,Positive
2020-04-28,0.148,Positive
2020-04-29,0.1531,Positive
2020-04-30,0.0593,Positive
2020-05-01,-0.08895,Negative
2020-05-03,0.0,Neutral
2020-05-04,0.0,Neutral
2020-05-05,0.0,Neutral
2020-05-07,0.0,Neutral
2020-05-11,0.38915,Positive
2020-05-12,0.0,Neutral
2020-05-13,0.0,Neutral
2020-05-15,0.23435,Positive
2020-05-16,0.0,Neutral
2020-05-19,0.0,Neutral
2020-05-20,0.1531,Positive
2020-05-21,0.2023,Positive
2020-05-22,0.3818,Positive
2020-05-24,0.0,Neutral
2020-05-26,0.0,Neutral
2020-05-27,0.0,Neutral
2020-05-29,0.3182,Positive
2020-05-31,0.4037,Positive
2020-06-01,0.24338,Positive
2020-06-02,0.1169,Positive
2020-06-03,-0.004638461538461536,Neutral
2020-06-04,0.0,Neutral
2020-06-05,0.0,Neutral
2020-06-06,-0.4019,Negative
2020-06-08,0.6956,Positive
2020-06-09,0.0,Neutral
2020-06-11,0.0,Neutral
2020-06-12,0.4939,Positive
2020-06-15,0.26330000000000003,Positive
2020-06-16,0.0,Neutral
2020-06-18,0.5106,Positive
2020-06-19,0.25,Positive
2020-06-22,0.0,Neutral
2020-06-23,0.5719,Positive
2020-06-24,-0.12116666666666666,Negative
2020-06-25,0.0,Neutral
2020-06-26,-0.056866666666666676,Negative
2020-06-28,0.29769999999999996,Positive
2020-06-29,-0.28595,Negative
2020-07-02,0.7003,Positive
2020-07-03,0.6124499999999999,Positive
2020-07-04,0.1531,Positive
2020-07-06,0.128,Positive
2020-07-07,0.24680000000000002,Positive
2020-07-08,0.03515,Neutral
2020-07-13,0.2732,Positive
2020-07-15,0.57625,Positive
2020-07-16,0.0,Neutral
2020-07-17,-0.05135,Negative
2020-07-21,0.31845,Positive
2020-07-22,0.0,Neutral
2020-07-23,0.0,Neutral
2020-07-24,0.0258,Neutral
2020-07-27,0.6249,Positive
2020-07-30,0.26335,Positive
2020-08-03,0.3243,Positive
2020-08-05,0.7579,Positive
2020-08-07,0.0,Neutral
2020-08-10,0.4845,Positive
2020-08-11,-0.14675,Negative
2020-08-12,0.8658,Positive
2020-08-13,0.3612,Positive
2020-08-14,0.5566,Positive
2020-08-16,0.83775,Positive
2020-08-17,0.174475,Positive
2020-08-18,0.3504,Positive
2020-08-19,0.4392,Positive
2020-08-20,0.2023,Positive
2020-08-21,0.4939,Positive
2020-08-24,0.2125,Positive
2020-08-25,0.5061666666666667,Positive
2020-08-26,0.7003,Positive
2020-08-27,0.7646,Positive
2020-08-28,0.8332,Positive
2020-08-29,0.3825,Positive
2020-08-30,0.0,Neutral
2020-08-31,0.1367909090909091,Positive
2020-09-01,0.3180217391304348,Positive
2020-09-02,0.24882857142857143,Positive
2020-09-03,0.3058,Positive
2020-09-04,0.3584333333333333,Positive
2020-09-05,0.0,Neutral
2020-09-07,0.255425,Positive
2020-09-08,0.31586,Positive
2020-09-09,0.1469,Positive
2020-09-10,0.10115,Positive
2020-09-12,0.6486000000000001,Positive
2020-09-14,0.0,Neutral
2020-09-15,0.76065,Positive
2020-09-16,0.2263,Positive
2020-09-17,0.44967999999999997,Positive
2020-09-18,0.0,Neutral
2020-09-19,0.4215,Positive
2020-09-21,0.14562000000000003,Positive
2020-09-22,0.4523,Positive
2020-09-23,0.027166666666666655,Neutral
2020-09-25,-0.17,Negative
2020-09-26,-0.30293333333333333,Negative
2020-09-27,0.8477,Positive
2020-09-28,0.38722,Positive
2020-09-29,0.15865555555555552,Positive
2020-09-30,0.142975,Positive
2020-10-01,0.0,Neutral
2020-10-02,0.5986,Positive
2020-10-03,0.0,Neutral
2020-10-05,0.9644,Positive
2020-10-06,0.231,Positive
2020-10-07,0.16463333333333333,Positive
2020-10-08,0.6015199999999999,Positive
2020-10-09,0.0,Neutral
2020-10-10,0.7501,Positive
2020-10-12,-0.09770000000000001,Negative
2020-10-13,0.71355,Positive
2020-10-14,0.44460625,Positive
2020-10-15,0.12746250000000003,Positive
2020-10-16,0.7716,Positive
2020-10-17,0.8885,Positive
2020-10-18,-0.3134,Negative
2020-10-19,0.09866666666666667,Positive
2020-10-20,0.13142500000000001,Positive
2020-10-21,0.3102,Positive
2020-10-22,0.2394666666666667,Positive
2020-10-23,0.3612,Positive
2020-10-26,0.30654000000000003,Positive
2020-10-27,0.3399666666666667,Positive
2020-10-28,0.4019,Positive
2020-11-09,0.38075000000000003,Positive
2020-11-12,0.4201,Positive
2020-11-15,0.296,Positive
2020-11-16,0.377,Positive
2020-11-18,0.005849999999999966,Neutral
2020-11-19,0.5267,Positive
2020-11-20,0.27626666666666666,Positive
2020-11-23,0.0758,Positive
2020-11-24,0.5823,Positive
2020-11-25,0.3309666666666667,Positive
2020-11-27,0.3062,Positive
2020-11-29,0.0,Neutral
2020-11-30,0.24066363636363636,Positive
2020-12-01,0.4824111111111111,Positive
2020-12-02,0.21036666666666667,Positive
2020-12-03,0.9991,Positive
2020-12-04,0.4122333333333333,Positive
2020-12-07,0.30465000000000003,Positive
2020-12-08,0.5423,Positive
2020-12-09,0.20111666666666664,Positive
2020-12-10,0.4215,Positive
2020-12-11,0.525,Positive
2020-12-15,0.2183333333333333,Positive
2020-12-16,0.3587,Positive
2020-12-17,0.5083666666666667,Positive
